date,month,year, pm25
24,2,2021,172
25,2,2021,200
26,2,2021,173
27,2,2021,132
28,2,2021,150
4,1,2021,164
5,1,2021,142
6,1,2021,201
7,1,2021,188
8,1,2021,219
9,1,2021,217
10,1,2021,198
11,1,2021,195
12,1,2021,244
13,1,2021,303
14,1,2021,447
15,1,2021,432
16,1,2021,332
17,1,2021,309
18,1,2021,261
19,1,2021,341
20,1,2021,201
21,1,2021,212
22,1,2021,276
23,1,2021,240
24,1,2021,290
25,1,2021,232
26,1,2021,230
27,1,2021,236
28,1,2021,309
29,1,2021,281
30,1,2021,206
31,1,2021,194
1,10,2020,142
2,10,2020,154
3,10,2020,153
4,10,2020,153
5,10,2020,145
6,10,2020,150
7,10,2020,162
8,10,2020,158
9,10,2020,164
10,10,2020,167
11,10,2020,167
12,10,2020,179
13,10,2020,182
14,10,2020,180
15,10,2020,185
16,10,2020,173
17,10,2020,184
18,10,2020,171
19,10,2020,177
20,10,2020,166
21,10,2020,156
22,10,2020,199
23,10,2020,254
24,10,2020,220
25,10,2020,217
26,10,2020,226
27,10,2020,229
28,10,2020,216
29,10,2020,276
30,10,2020,265
31,10,2020,317
1,11,2020,302
2,11,2020,201
3,11,2020,176
4,11,2020,330
5,11,2020,311
6,11,2020,275
7,11,2020,338
8,11,2020,337
9,11,2020,519
10,11,2020,455
11,11,2020,193
12,11,2020,225
13,11,2020,225
14,11,2020,393
15,11,2020,340
16,11,2020,168
17,11,2020,159
18,11,2020,181
19,11,2020,190
20,11,2020,215
21,11,2020,187
22,11,2020,203
23,11,2020,207
24,11,2020,285
25,11,2020,326
26,11,2020,176
27,11,2020,155
28,11,2020,185
29,11,2020,182
30,11,2020,218
1,12,2020,271
2,12,2020,261
3,12,2020,228
4,12,2020,266
5,12,2020,294
6,12,2020,277
7,12,2020,341
8,12,2020,250
9,12,2020,237
10,12,2020,190
11,12,2020,200
12,12,2020,309
13,12,2020,189
14,12,2020,165
15,12,2020,189
16,12,2020,193
17,12,2020,210
18,12,2020,200
19,12,2020,228
20,12,2020,236
21,12,2020,239
22,12,2020,343
23,12,2020,374
24,12,2020,355
25,12,2020,275
26,12,2020,259
27,12,2020,311
28,12,2020,162
29,12,2020,194
30,12,2020,221
31,12,2020,298
1,1,2021,410
2,1,2021,380
3,1,2021,222
1,7,2020,131
2,7,2020,142
3,7,2020,144
4,7,2020,116
5,7,2020,80
6,7,2020,114
7,7,2020,56
8,7,2020,69
9,7,2020,85
10,7,2020,73
11,7,2020,60
12,7,2020,62
13,7,2020,83
14,7,2020,103
15,7,2020,105
16,7,2020,84
17,7,2020,118
18,7,2020,109
19,7,2020,69
20,7,2020,60
21,7,2020,67
22,7,2020,56
23,7,2020,91
24,7,2020,103
25,7,2020,82
26,7,2020,97
27,7,2020,86
28,7,2020,71
29,7,2020,69
30,7,2020,52
31,7,2020,102
1,8,2020,94
2,8,2020,67
3,8,2020,69
4,8,2020,70
5,8,2020,101
6,8,2020,52
7,8,2020,72
8,8,2020,121
9,8,2020,86
10,8,2020,81
11,8,2020,106
12,8,2020,66
13,8,2020,46
14,8,2020,61
15,8,2020,83
16,8,2020,58
17,8,2020,78
18,8,2020,73
19,8,2020,61
20,8,2020,58
21,8,2020,58
22,8,2020,50
23,8,2020,56
24,8,2020,47
25,8,2020,53
26,8,2020,51
27,8,2020,56
28,8,2020,70
29,8,2020,84
30,8,2020,38
31,8,2020,45
1,9,2020,53
2,9,2020,58
3,9,2020,91
4,9,2020,102
5,9,2020,67
6,9,2020,69
7,9,2020,118
8,9,2020,86
9,9,2020,132
10,9,2020,131
11,9,2020,133
12,9,2020,137
13,9,2020,149
14,9,2020,152
15,9,2020,147
16,9,2020,148
17,9,2020,118
18,9,2020,104
19,9,2020,136
20,9,2020,146
21,9,2020,146
22,9,2020,98
23,9,2020,74
24,9,2020,101
25,9,2020,128
26,9,2020,129
27,9,2020,94
28,9,2020,147
29,9,2020,149
30,9,2020,134
1,4,2020,89
2,4,2020,76
3,4,2020,91
4,4,2020,98
5,4,2020,117
6,4,2020,118
7,4,2020,90
